"_time",host,logins,"privileged_events",users,"source_ips"
"2026-09-18T10:35:00.000+0530","DESKTOP-LUDJFJ7",13,11,,"- 127.0.0.1"
"2026-09-18T10:40:00.000+0530","DESKTOP-LUDJFJ7",22,22,,"-"
"2026-09-18T10:50:00.000+0530","DESKTOP-LUDJFJ7",7,7,,"-"
"2026-09-18T11:00:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T11:05:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T11:10:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T11:20:00.000+0530","DESKTOP-LUDJFJ7",10,10,,"-"
"2026-09-18T11:25:00.000+0530","DESKTOP-LUDJFJ7",5,3,,"- 127.0.0.1"
"2026-09-18T11:35:00.000+0530","DESKTOP-LUDJFJ7",8,6,,"- 127.0.0.1"
"2026-09-18T11:40:00.000+0530","DESKTOP-LUDJFJ7",4,4,,"-"
"2026-09-18T11:45:00.000+0530","DESKTOP-LUDJFJ7",6,6,,"-"
"2026-09-18T11:50:00.000+0530","DESKTOP-LUDJFJ7",8,6,,"- 127.0.0.1"
"2026-09-18T12:05:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T12:10:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T12:15:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T12:25:00.000+0530","DESKTOP-LUDJFJ7",10,10,,"-"
"2026-09-18T12:30:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T12:35:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T12:40:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T13:35:00.000+0530","DESKTOP-LUDJFJ7",11,9,,"- 127.0.0.1"
"2026-09-18T13:45:00.000+0530","DESKTOP-LUDJFJ7",3,3,,"-"
"2026-09-18T13:55:00.000+0530","DESKTOP-LUDJFJ7",6,4,,"- 127.0.0.1"
"2026-09-18T14:00:00.000+0530","DESKTOP-LUDJFJ7",8,7,,"-"
"2026-09-18T16:10:00.000+0530","DESKTOP-LUDJFJ7",10,8,,"- 127.0.0.1"
"2026-09-18T16:15:00.000+0530","DESKTOP-LUDJFJ7",4,4,,"-"
"2026-09-18T16:20:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T16:25:00.000+0530","DESKTOP-LUDJFJ7",3,3,,"-"
"2026-09-18T16:30:00.000+0530","DESKTOP-LUDJFJ7",4,4,,"-"
"2026-09-18T16:35:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T16:40:00.000+0530","DESKTOP-LUDJFJ7",3,3,,"-"
"2026-09-18T16:45:00.000+0530","DESKTOP-LUDJFJ7",3,3,,"-"
"2026-09-18T16:55:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T17:00:00.000+0530","DESKTOP-LUDJFJ7",7,5,,"- 127.0.0.1"
"2026-09-18T17:10:00.000+0530","DESKTOP-LUDJFJ7",4,4,,"-"
"2026-09-18T17:20:00.000+0530","DESKTOP-LUDJFJ7",56,53,,"-"
"2026-09-18T17:25:00.000+0530","DESKTOP-LUDJFJ7",35,33,,"- 127.0.0.1"
"2026-09-18T17:30:00.000+0530","DESKTOP-LUDJFJ7",84,79,,"- 127.0.0.1"
"2026-09-18T17:35:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T17:40:00.000+0530","DESKTOP-LUDJFJ7",86,81,,"- 127.0.0.1"
"2026-09-18T17:45:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T17:50:00.000+0530","DESKTOP-LUDJFJ7",6,6,,"-"
"2026-09-18T17:55:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T18:05:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T18:10:00.000+0530","DESKTOP-LUDJFJ7",5,5,,"-"
"2026-09-18T18:35:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T18:50:00.000+0530","DESKTOP-LUDJFJ7",12,10,,"- 127.0.0.1"
"2026-09-18T19:00:00.000+0530","DESKTOP-LUDJFJ7",2,2,,"-"
"2026-09-18T19:05:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T19:10:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T19:15:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T19:35:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T20:25:00.000+0530","DESKTOP-LUDJFJ7",6,4,,"- 127.0.0.1"
"2026-09-18T20:30:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T20:40:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T20:45:00.000+0530","DESKTOP-LUDJFJ7",1,1,,"-"
"2026-09-18T20:55:00.000+0530","DESKTOP-LUDJFJ7",6,5,,"-"
"2026-09-19T10:35:00.000+0530","DESKTOP-LUDJFJ7",13,11,,"- 127.0.0.1"
"2026-09-19T10:40:00.000+0530","DESKTOP-LUDJFJ7",22,22,,"-"
"2026-09-19T10:45:00.000+0530","DESKTOP-LUDJFJ7",3,3,,"-"
"2026-09-19T10:50:00.000+0530","DESKTOP-LUDJFJ7",7,7,,"-"
"2026-09-19T10:55:00.000+0530","DESKTOP-LUDJFJ7",4,4,,"-"
